MovieID,Title_Clean,Genres,Genre_Primary,Year,Duration_Min,Language,Country,Content_Rating,Avg_Rating,Weighted_Rating,Num_Ratings,Is_Original,Award_Winner,Trailer_YT_ID,Genre_Enc,Language_Enc,Country_Enc,Content_Enc,Soup
1,Toy Story,Animation|Children's|Comedy,Animation,1995.0,110,Italian,Spain,R,4.146846413095811,4.132646180981545,2077,False,False,dQw4w9WgXcQ,2,3,5,4,Animation Children's ComedyAnimation Children's ComedyAnimation Children's Comedy Spain Italian R classic medium  
2,Jumanji,Adventure|Children's|Fantasy,Adventure,1995.0,96,English,UK,PG,3.20114122681883,3.2028384766635685,701,False,True,dQw4w9WgXcQ,1,0,6,2,Adventure Children's FantasyAdventure Children's FantasyAdventure Children's Fantasy UK English PG classic medium award 
3,Grumpier Old Men,Comedy|Romance,Comedy,1995.0,114,English,USA,PG-13,3.01673640167364,3.0310830564991376,478,False,False,dQw4w9WgXcQ,4,0,7,3,Comedy RomanceComedy RomanceComedy Romance USA English PG13 classic medium  
4,Waiting to Exhale,Comedy|Drama,Comedy,1995.0,133,English,UK,PG,2.7294117647058824,2.812233703798322,170,False,False,dQw4w9WgXcQ,4,0,6,2,Comedy DramaComedy DramaComedy Drama UK English PG classic medium  
5,Father of the Bride Part II,Comedy,Comedy,1995.0,94,Korean,USA,R,3.0067567567567566,3.0300408567509405,296,False,False,dQw4w9WgXcQ,4,5,7,4,ComedyComedyComedy USA Korean R classic medium  
6,Heat,Action|Crime|Thriller,Action,1995.0,94,English,USA,R,3.8787234042553194,3.857023064615683,940,False,True,dQw4w9WgXcQ,0,0,7,4,Action Crime ThrillerAction Crime ThrillerAction Crime Thriller USA English R classic medium award 
7,Sabrina,Comedy|Romance,Comedy,1995.0,134,French,Italy,PG,3.410480349344978,3.398947946784235,458,False,False,dQw4w9WgXcQ,4,1,2,2,Comedy RomanceComedy RomanceComedy Romance Italy French PG classic medium  
8,Tom and Huck,Adventure|Children's,Adventure,1995.0,116,Japanese,USA,R,3.014705882352941,3.0879548700104893,68,True,True,dQw4w9WgXcQ,1,4,7,4,Adventure Children'sAdventure Children'sAdventure Children's USA Japanese R classic medium award streamflixoriginal
9,Sudden Death,Action,Action,1995.0,89,English,USA,PG,2.656862745098039,2.799136606452292,102,False,True,dQw4w9WgXcQ,0,0,7,2,ActionActionAction USA English PG classic short award 
10,GoldenEye,Action|Adventure|Thriller,Action,1995.0,111,English,France,R,3.5405405405405403,3.5297322930196082,888,False,True,dQw4w9WgXcQ,0,0,0,4,Action Adventure ThrillerAction Adventure ThrillerAction Adventure Thriller France English R classic medium award 
11,"American President, The",Comedy|Drama|Romance,Comedy,1995.0,89,Japanese,USA,PG-13,3.7938044530493706,3.776626118077917,1033,False,False,dQw4w9WgXcQ,4,4,7,3,Comedy Drama RomanceComedy Drama RomanceComedy Drama Romance USA Japanese PG13 classic short  
12,Dracula: Dead and Loving It,Comedy|Horror,Comedy,1995.0,89,English,UK,PG-13,2.3625,2.5123494397464214,160,False,False,dQw4w9WgXcQ,4,0,6,3,Comedy HorrorComedy HorrorComedy Horror UK English PG13 classic short  
13,Balto,Animation|Children's,Animation,1995.0,105,Japanese,USA,PG,3.2626262626262625,3.2566927414474196,99,False,False,dQw4w9WgXcQ,2,4,7,2,Animation Children'sAnimation Children'sAnimation Children's USA Japanese PG classic medium  
14,Nixon,Drama,Drama,1995.0,70,German,USA,PG,3.542483660130719,3.4886206552207497,153,False,False,dQw4w9WgXcQ,7,2,7,2,DramaDramaDrama USA German PG classic short  
15,Cutthroat Island,Action|Adventure|Romance,Action,1995.0,70,Spanish,USA,R,2.458904109589041,2.602700792575751,146,True,True,dQw4w9WgXcQ,0,6,7,4,Action Adventure RomanceAction Adventure RomanceAction Adventure Romance USA Spanish R classic short award streamflixoriginal
16,Casino,Drama|Thriller,Drama,1995.0,87,French,USA,PG-13,3.7932551319648096,3.7676691494700134,682,False,False,dQw4w9WgXcQ,7,1,7,3,Drama ThrillerDrama ThrillerDrama Thriller USA French PG13 classic short  
17,Sense and Sensibility,Drama|Romance,Drama,1995.0,77,Japanese,USA,PG,4.027544910179641,3.997561568975875,835,False,False,dQw4w9WgXcQ,7,4,7,2,Drama RomanceDrama RomanceDrama Romance USA Japanese PG classic short  
18,Four Rooms,Thriller,Thriller,1995.0,106,Japanese,Spain,PG,3.337579617834395,3.320439167742418,157,False,True,dQw4w9WgXcQ,15,4,5,2,ThrillerThrillerThriller Spain Japanese PG classic medium award 
19,Ace Ventura: When Nature Calls,Comedy,Comedy,1995.0,80,English,USA,G,2.480719794344473,2.540008156092558,389,False,False,dQw4w9WgXcQ,4,0,7,0,ComedyComedyComedy USA English G classic short  
20,Money Train,Action,Action,1995.0,70,English,Germany,R,2.5375,2.6574271599536754,160,False,False,dQw4w9WgXcQ,0,0,1,4,ActionActionAction Germany English R classic short  
21,Get Shorty,Action|Comedy|Drama,Action,1995.0,132,English,USA,R,3.6238938053097347,3.6147468983952913,1356,False,False,dQw4w9WgXcQ,0,0,7,4,Action Comedy DramaAction Comedy DramaAction Comedy Drama USA English R classic medium  
22,Copycat,Crime|Drama|Thriller,Crime,1995.0,95,Spanish,USA,G,3.3492063492063493,3.340349006985546,378,False,False,dQw4w9WgXcQ,5,6,7,0,Crime Drama ThrillerCrime Drama ThrillerCrime Drama Thriller USA Spanish G classic medium  
23,Assassins,Thriller,Thriller,1995.0,101,English,UK,PG-13,2.857142857142857,2.936373848245657,126,False,False,dQw4w9WgXcQ,15,0,6,3,ThrillerThrillerThriller UK English PG13 classic medium  
24,Powder,Drama|Sci-Fi,Drama,1995.0,70,French,France,PG,3.1794871794871793,3.182470992193393,624,False,False,dQw4w9WgXcQ,7,1,0,2,Drama Sci-FiDrama Sci-FiDrama Sci-Fi France French PG classic short  
25,Leaving Las Vegas,Drama|Romance,Drama,1995.0,88,English,USA,R,3.6510204081632653,3.6375947106328326,980,False,False,dQw4w9WgXcQ,7,0,7,4,Drama RomanceDrama RomanceDrama Romance USA English R classic short  
26,Othello,Drama,Drama,1995.0,102,Spanish,UK,R,3.53,3.4577702396320253,100,False,False,dQw4w9WgXcQ,7,6,6,4,DramaDramaDrama UK Spanish R classic medium  
27,Now and Then,Drama,Drama,1995.0,74,English,South Korea,R,2.9344262295081966,3.0413132113942494,61,False,False,dQw4w9WgXcQ,7,0,4,4,DramaDramaDrama SouthKorea English R classic short  
28,Persuasion,Romance,Romance,1995.0,108,French,USA,R,4.055865921787709,3.9286954805238645,179,False,True,dQw4w9WgXcQ,13,1,7,4,RomanceRomanceRomance USA French R classic medium award 
29,"City of Lost Children, The",Adventure|Sci-Fi,Adventure,1995.0,86,English,France,R,4.062034739454094,3.9997326648418787,403,False,True,dQw4w9WgXcQ,1,0,0,4,Adventure Sci-FiAdventure Sci-FiAdventure Sci-Fi France English R classic short award 
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama,Drama,1995.0,93,English,USA,R,3.6486486486486487,3.5222751576734526,74,False,False,dQw4w9WgXcQ,7,0,7,4,DramaDramaDrama USA English R classic medium  
31,Dangerous Minds,Drama,Drama,1995.0,86,English,Spain,PG-13,3.1134751773049647,3.1372611601785025,141,False,False,dQw4w9WgXcQ,7,0,5,3,DramaDramaDrama Spain English PG13 classic short  
